지점,지점명,일시,평균기온(°C),일강수량(mm)
590,과천,2018-01-01,-2.6,0
590,과천,2018-01-02,-2.7,0
590,과천,2018-01-03,-4.7,0
590,과천,2018-01-04,-5.1,0
590,과천,2018-01-05,-3.9,0
590,과천,2018-01-06,-3.9,0
590,과천,2018-01-07,-2.4,0
590,과천,2018-01-08,1.1,1
590,과천,2018-01-09,-3.8,0
590,과천,2018-01-10,-7.6,0
590,과천,2018-01-11,-10.7,0
590,과천,2018-01-12,-10,0
590,과천,2018-01-13,-5.3,0
590,과천,2018-01-14,-.6,0
590,과천,2018-01-15,3.4,0
590,과천,2018-01-16,1.9,0
590,과천,2018-01-17,3.4,0
590,과천,2018-01-18,1.8,0
590,과천,2018-01-19,.1,0
590,과천,2018-01-20,.7,0
590,과천,2018-01-21,-1.4,0
590,과천,2018-01-22,0,2.5
590,과천,2018-01-23,-11.3,0
590,과천,2018-01-24,-13.8,0
590,과천,2018-01-25,-13.5,0
590,과천,2018-01-26,-14.7,0
590,과천,2018-01-27,-10.5,0
590,과천,2018-01-28,-5.6,0
590,과천,2018-01-29,-8.1,0
590,과천,2018-01-30,-5.7,.5
590,과천,2018-01-31,-3,0
590,과천,2018-02-01,-5.8,0
590,과천,2018-02-02,-4.5,0
590,과천,2018-02-03,-6.9,0
590,과천,2018-02-04,-9.1,0
590,과천,2018-02-05,-9.2,0
590,과천,2018-02-06,-10,0
590,과천,2018-02-07,-9.2,0
590,과천,2018-02-08,-6.1,0
590,과천,2018-02-09,-.8,0
590,과천,2018-02-10,-.5,0
590,과천,2018-02-11,-5.7,0
590,과천,2018-02-12,-5.8,0
590,과천,2018-02-13,-2,0
590,과천,2018-02-14,3.2,0
590,과천,2018-02-15,-1,0
590,과천,2018-02-16,-1.5,0
590,과천,2018-02-17,-3,0
590,과천,2018-02-18,-1,0
590,과천,2018-02-19,.6,0
590,과천,2018-02-20,.3,0
590,과천,2018-02-21,-1.7,0
590,과천,2018-02-22,.7,0
590,과천,2018-02-23,4.4,3
590,과천,2018-02-24,1.9,0
590,과천,2018-02-25,1.1,0
590,과천,2018-02-26,1.5,0
590,과천,2018-02-27,2.5,0
590,과천,2018-02-28,3.5,32
590,과천,2018-03-01,0,2
590,과천,2018-03-02,-.8,0
590,과천,2018-03-03,7.5,0
590,과천,2018-03-04,9.5,14
590,과천,2018-03-05,4.8,4
590,과천,2018-03-06,3.3,0
590,과천,2018-03-07,5.9,.5
590,과천,2018-03-08,4.2,5.5
590,과천,2018-03-09,3.5,0
590,과천,2018-03-10,3.6,0
590,과천,2018-03-11,5.7,0
590,과천,2018-03-12,6.5,0
590,과천,2018-03-13,11.5,0
590,과천,2018-03-14,16.7,0
590,과천,2018-03-15,12.2,42.5
590,과천,2018-03-16,6.1,0
590,과천,2018-03-17,5.9,0
590,과천,2018-03-18,8.1,1
590,과천,2018-03-19,7.9,2.5
590,과천,2018-03-20,4.8,0
590,과천,2018-03-21,1.5,0
590,과천,2018-03-22,4.6,0
590,과천,2018-03-23,5.2,0
590,과천,2018-03-24,7,0
590,과천,2018-03-25,9.3,0
590,과천,2018-03-26,10.1,0
590,과천,2018-03-27,12.6,0
590,과천,2018-03-28,14.6,0
590,과천,2018-03-29,15,0
590,과천,2018-03-30,13.3,0
590,과천,2018-03-31,13,0
590,과천,2018-04-01,15.1,0
590,과천,2018-04-02,17.3,0
590,과천,2018-04-03,17.8,0
590,과천,2018-04-04,12.2,21.5
590,과천,2018-04-05,7.7,11.5
590,과천,2018-04-06,6.3,8.5
590,과천,2018-04-07,4.5,0
590,과천,2018-04-08,4.4,3.5
590,과천,2018-04-09,7.2,0
590,과천,2018-04-10,14.5,2.5
590,과천,2018-04-11,12.2,0
590,과천,2018-04-12,11.9,0
590,과천,2018-04-13,13.7,0
590,과천,2018-04-14,8.7,11
590,과천,2018-04-15,8.9,0
590,과천,2018-04-16,10.2,0
590,과천,2018-04-17,11.4,0
590,과천,2018-04-18,11.4,0
590,과천,2018-04-19,13,0
590,과천,2018-04-20,17.1,0
590,과천,2018-04-21,17,0
590,과천,2018-04-22,14.4,6.5
590,과천,2018-04-23,9.6,51.5
590,과천,2018-04-24,11.5,.5
590,과천,2018-04-25,13.1,0
590,과천,2018-04-26,14.2,0
590,과천,2018-04-27,14.4,0
590,과천,2018-04-28,14.5,0
590,과천,2018-04-29,14.7,0
590,과천,2018-04-30,18.4,0
590,과천,2018-05-01,19.9,0
590,과천,2018-05-02,15.2,4
590,과천,2018-05-03,11.5,.5
590,과천,2018-05-04,14.5,0
590,과천,2018-05-05,17.8,0
590,과천,2018-05-06,15.5,25.5
590,과천,2018-05-07,18.4,0
590,과천,2018-05-08,17,0
590,과천,2018-05-09,14.4,0
590,과천,2018-05-10,15.1,0
590,과천,2018-05-11,16.3,0
590,과천,2018-05-12,13.7,38.5
590,과천,2018-05-13,15.5,0
590,과천,2018-05-14,17.6,0
590,과천,2018-05-15,22.3,0
590,과천,2018-05-16,22.3,27
590,과천,2018-05-17,21.2,75.5
590,과천,2018-05-18,16.1,3
