지점,지점명,일시,평균기온(°C),일강수량(mm)
590,과천,2021-01-01,-4.7,0
590,과천,2021-01-02,-4.4,0
590,과천,2021-01-03,-5.8,0
590,과천,2021-01-04,-3.8,0
590,과천,2021-01-05,-4.8,0
590,과천,2021-01-06,-7.4,4.5
590,과천,2021-01-07,-13.6,0
590,과천,2021-01-08,-14,0
590,과천,2021-01-09,-13.3,0
590,과천,2021-01-10,-9.9,0
590,과천,2021-01-11,-8.7,0
590,과천,2021-01-12,-4.7,2.5
590,과천,2021-01-13,1.3,0
590,과천,2021-01-14,-.4,0
590,과천,2021-01-15,3.5,0
590,과천,2021-01-16,-3.8,0
590,과천,2021-01-17,-4.9,.5
590,과천,2021-01-18,-2.9,0
590,과천,2021-01-19,-6.8,0
590,과천,2021-01-20,-1.9,0
590,과천,2021-01-21,3.6,11.5
590,과천,2021-01-22,5.3,0
590,과천,2021-01-23,7.3,0
590,과천,2021-01-24,4.5,0
590,과천,2021-01-25,5,0
590,과천,2021-01-26,4.4,2.5
590,과천,2021-01-27,1.6,0
590,과천,2021-01-28,-2.4,2.5
590,과천,2021-01-29,-8.1,0
590,과천,2021-01-30,-1.3,0
590,과천,2021-01-31,2,0
590,과천,2021-02-01,5.5,0
590,과천,2021-02-02,-4.3,0
590,과천,2021-02-03,-2.8,3
590,과천,2021-02-04,-3.8,1.5
590,과천,2021-02-05,1.2,0
590,과천,2021-02-06,7,0
590,과천,2021-02-07,3.9,0
590,과천,2021-02-08,-2.1,0
590,과천,2021-02-09,-.8,0
590,과천,2021-02-10,2.9,0
590,과천,2021-02-11,3.7,0
590,과천,2021-02-12,4.2,0
590,과천,2021-02-13,5.1,0
590,과천,2021-02-14,8.7,0
590,과천,2021-02-15,1.7,0
590,과천,2021-02-16,-4.5,1.5
590,과천,2021-02-17,-7.4,0
590,과천,2021-02-18,-5.4,0
590,과천,2021-02-19,1.5,0
590,과천,2021-02-20,8.2,0
590,과천,2021-02-21,11.2,0
590,과천,2021-02-22,7.7,0
590,과천,2021-02-23,.9,0
590,과천,2021-02-24,2.2,0
590,과천,2021-02-25,2.8,0
590,과천,2021-02-26,6.1,0
590,과천,2021-02-27,7.6,0
590,과천,2021-02-28,6.6,0
590,과천,2021-03-01,4.5,69.5
590,과천,2021-03-02,2,0
590,과천,2021-03-03,3.1,0
590,과천,2021-03-04,5.7,0
590,과천,2021-03-05,7.6,0
590,과천,2021-03-06,6.2,0
590,과천,2021-03-07,5.5,0
590,과천,2021-03-08,5.4,0
590,과천,2021-03-09,6,0
590,과천,2021-03-10,7.1,0
590,과천,2021-03-11,9.1,0
590,과천,2021-03-12,10.1,0
590,과천,2021-03-13,8.6,0
590,과천,2021-03-14,8,0
590,과천,2021-03-15,10.1,1.5
590,과천,2021-03-16,8.7,1.5
590,과천,2021-03-17,7.6,0
590,과천,2021-03-18,10.5,0
590,과천,2021-03-19,14.7,0
590,과천,2021-03-20,9.5,4
590,과천,2021-03-21,6.5,0
590,과천,2021-03-22,6.6,0
590,과천,2021-03-23,8.5,0
590,과천,2021-03-24,9.5,0
590,과천,2021-03-25,11.5,0
590,과천,2021-03-26,11.5,0
590,과천,2021-03-27,11,22.5
590,과천,2021-03-28,9.6,10
590,과천,2021-03-29,10.5,.5
590,과천,2021-03-30,10,0
590,과천,2021-03-31,12.6,0
590,과천,2021-04-01,16.2,0
590,과천,2021-04-02,17.3,0
590,과천,2021-04-03,14.2,60.5
590,과천,2021-04-04,11.5,1
590,과천,2021-04-05,10.5,0
590,과천,2021-04-06,13.2,0
590,과천,2021-04-07,13,0
590,과천,2021-04-08,12,0
590,과천,2021-04-09,11.9,0
590,과천,2021-04-10,11.5,0
590,과천,2021-04-11,13.5,0
590,과천,2021-04-12,13.4,22.5
590,과천,2021-04-13,10.6,6.5
590,과천,2021-04-14,8.4,0
590,과천,2021-04-15,10.3,0
