지점,지점명,일시,평균기온(°C),일강수량(mm)
590,과천,2022-01-01,-5.3,0
590,과천,2022-01-02,-.8,0
590,과천,2022-01-03,-2.8,0
590,과천,2022-01-04,-2.8,0
590,과천,2022-01-05,-3.9,0
590,과천,2022-01-06,-3.3,0
590,과천,2022-01-07,-3.5,0
590,과천,2022-01-08,-.7,0
590,과천,2022-01-09,.2,0
590,과천,2022-01-10,-.3,.5
590,과천,2022-01-11,-6.2,.5
590,과천,2022-01-12,-6.8,0
590,과천,2022-01-13,-5.1,0
590,과천,2022-01-14,-5.3,0
590,과천,2022-01-15,-.7,0
590,과천,2022-01-16,-1,0
590,과천,2022-01-17,-5.1,0
590,과천,2022-01-18,-6.1,0
590,과천,2022-01-19,-5.4,0
590,과천,2022-01-20,-6.1,0
590,과천,2022-01-21,-4.5,0
590,과천,2022-01-22,-1.4,0
590,과천,2022-01-23,1,0
590,과천,2022-01-24,3.6,0
590,과천,2022-01-25,3,0
590,과천,2022-01-26,.8,0
590,과천,2022-01-27,-.8,0
590,과천,2022-01-28,-2.3,0
590,과천,2022-01-29,-3.8,0
590,과천,2022-01-30,-3.5,0
590,과천,2022-01-31,-1.5,.5
590,과천,2022-02-01,-.4,1.5
590,과천,2022-02-02,-3.4,0
590,과천,2022-02-03,-3.4,0
590,과천,2022-02-04,-4.7,0
590,과천,2022-02-05,-5.4,0
590,과천,2022-02-06,-3,0
590,과천,2022-02-07,-2.7,0
590,과천,2022-02-08,-1,0
590,과천,2022-02-09,-.4,0
590,과천,2022-02-10,1,0
590,과천,2022-02-11,1.3,0
590,과천,2022-02-12,2.8,0
590,과천,2022-02-13,2.9,0
590,과천,2022-02-14,1.8,2.5
590,과천,2022-02-15,-3.9,0
590,과천,2022-02-16,-6.3,0
590,과천,2022-02-17,-6.1,0
590,과천,2022-02-18,-2,0
590,과천,2022-02-19,-1.1,0
590,과천,2022-02-20,-3.7,0
590,과천,2022-02-21,-2.4,0
590,과천,2022-02-22,-3.3,0
590,과천,2022-02-23,-5,0
590,과천,2022-02-24,-2.6,0
590,과천,2022-02-25,2.9,0
590,과천,2022-02-26,6.2,3
590,과천,2022-02-27,4.3,0
590,과천,2022-02-28,5.9,0
590,과천,2022-03-01,5.3,4.5
590,과천,2022-03-02,2.9,0
590,과천,2022-03-03,5,0
590,과천,2022-03-04,6.4,0
590,과천,2022-03-05,3.4,0
590,과천,2022-03-06,2.2,0
590,과천,2022-03-07,2.2,0
590,과천,2022-03-08,4.7,0
590,과천,2022-03-09,6.4,0
590,과천,2022-03-10,7.8,0
590,과천,2022-03-11,9.5,0
590,과천,2022-03-12,12.2,12
590,과천,2022-03-13,12.1,19.5
590,과천,2022-03-14,9.1,8.5
590,과천,2022-03-15,6.8,0
590,과천,2022-03-16,9.8,0
590,과천,2022-03-17,11.2,.5
590,과천,2022-03-18,7.9,.5
590,과천,2022-03-19,3.3,11
590,과천,2022-03-20,5.2,0
590,과천,2022-03-21,4.9,0
590,과천,2022-03-22,6.7,0
590,과천,2022-03-23,6.3,0
590,과천,2022-03-24,8.1,0
590,과천,2022-03-25,11.9,8
590,과천,2022-03-26,11.8,14.5
590,과천,2022-03-27,8.3,0
590,과천,2022-03-28,6.9,0
590,과천,2022-03-29,8.8,0
590,과천,2022-03-30,10.4,0
590,과천,2022-03-31,11.6,0
