지점,지점명,일시,평균기온(°C),일강수량(mm)
590,과천,2020-01-01,-1.1,0
590,과천,2020-01-02,2.2,0
590,과천,2020-01-03,.3,0
590,과천,2020-01-04,.9,0
590,과천,2020-01-05,.3,0
590,과천,2020-01-06,3,1
590,과천,2020-01-07,6.9,51
590,과천,2020-01-08,3.9,6.5
590,과천,2020-01-09,.2,0
590,과천,2020-01-10,-.6,0
590,과천,2020-01-11,.2,0
590,과천,2020-01-12,0,0
590,과천,2020-01-13,-2.1,0
590,과천,2020-01-14,-2.6,0
590,과천,2020-01-15,-3,0
590,과천,2020-01-16,-2,0
590,과천,2020-01-17,-1,0
590,과천,2020-01-18,-.4,0
590,과천,2020-01-19,2.2,.5
590,과천,2020-01-20,1.4,0
590,과천,2020-01-21,-1.2,0
590,과천,2020-01-22,1.7,0
590,과천,2020-01-23,3.4,0
590,과천,2020-01-24,2,0
590,과천,2020-01-25,3,0
590,과천,2020-01-26,4.7,0
590,과천,2020-01-27,6,1
590,과천,2020-01-28,6.9,0
590,과천,2020-01-29,4.2,0
590,과천,2020-01-30,4,0
590,과천,2020-01-31,3,0
590,과천,2020-02-01,2.1,0
590,과천,2020-02-02,1.3,0
590,과천,2020-02-03,.6,0
590,과천,2020-02-04,-1.2,1
590,과천,2020-02-05,-6.7,0
590,과천,2020-02-06,-6.1,0
590,과천,2020-02-07,-.7,0
590,과천,2020-02-08,.8,0
590,과천,2020-02-09,-.6,0
590,과천,2020-02-10,3.1,0
590,과천,2020-02-11,5.2,0
590,과천,2020-02-12,6.6,8.5
590,과천,2020-02-13,6.2,0
590,과천,2020-02-14,6.9,0
590,과천,2020-02-15,8.7,1.5
590,과천,2020-02-16,-.4,8
590,과천,2020-02-17,-4.8,1
590,과천,2020-02-18,-3.2,0
590,과천,2020-02-19,.3,0
590,과천,2020-02-20,4.1,0
590,과천,2020-02-21,6.5,3
590,과천,2020-02-22,5,4.5
590,과천,2020-02-23,2.6,0
590,과천,2020-02-24,6.2,0
590,과천,2020-02-25,6.5,20.5
590,과천,2020-02-26,6.7,0
590,과천,2020-02-27,5.3,0
590,과천,2020-02-28,4.2,4
590,과천,2020-02-29,7.4,.5
590,과천,2020-03-01,5.9,0
590,과천,2020-03-02,3.8,0
590,과천,2020-03-03,4.8,0
590,과천,2020-03-04,3,0
590,과천,2020-03-05,1.9,0
590,과천,2020-03-06,2.9,0
590,과천,2020-03-07,5.6,0
590,과천,2020-03-08,7.6,0
590,과천,2020-03-09,10.1,0
590,과천,2020-03-10,7,9.5
590,과천,2020-03-11,4.4,0
590,과천,2020-03-12,6.7,0
590,과천,2020-03-13,5.8,.5
590,과천,2020-03-14,4.4,0
590,과천,2020-03-15,5.5,0
590,과천,2020-03-16,3.8,0
590,과천,2020-03-17,7,0
590,과천,2020-03-18,9.6,0
590,과천,2020-03-19,9.6,0
590,과천,2020-03-20,9.1,0
590,과천,2020-03-21,12.8,0
590,과천,2020-03-22,11.4,0
590,과천,2020-03-23,10.1,0
590,과천,2020-03-24,10,0
590,과천,2020-03-25,11.3,0
590,과천,2020-03-26,13.6,2
590,과천,2020-03-27,12.6,6
590,과천,2020-03-28,7.9,0
590,과천,2020-03-29,7.6,0
590,과천,2020-03-30,8.9,0
590,과천,2020-03-31,11,0
590,과천,2020-04-01,11.9,0
590,과천,2020-04-02,8.7,0
590,과천,2020-04-03,10.1,0
590,과천,2020-04-04,9.5,0
590,과천,2020-04-05,7.4,0
590,과천,2020-04-06,8.8,0
590,과천,2020-04-07,10.4,0
590,과천,2020-04-08,9.2,0
590,과천,2020-04-09,8.7,0
590,과천,2020-04-10,9.7,0
590,과천,2020-04-11,9.4,0
590,과천,2020-04-12,9.5,0
590,과천,2020-04-13,11.5,0
590,과천,2020-04-14,11.6,0
590,과천,2020-04-15,12,0
590,과천,2020-04-16,14.7,0
590,과천,2020-04-17,12.4,9
590,과천,2020-04-18,13.6,0
590,과천,2020-04-19,11.8,11
590,과천,2020-04-20,10.2,.5
590,과천,2020-04-21,8.3,0
590,과천,2020-04-22,7,0
590,과천,2020-04-23,8.8,0
590,과천,2020-04-24,10.1,0
590,과천,2020-04-25,13.4,0
590,과천,2020-04-26,12.2,0
590,과천,2020-04-27,12.2,0
590,과천,2020-04-28,13.7,0
590,과천,2020-04-29,14,0
590,과천,2020-04-30,16.4,0
590,과천,2020-05-01,20.7,0
590,과천,2020-05-02,20.7,0
590,과천,2020-05-03,20.7,0
590,과천,2020-05-04,19.9,0
590,과천,2020-05-05,14.4,0
590,과천,2020-05-06,18.1,0
590,과천,2020-05-07,19.7,0
590,과천,2020-05-08,18.8,3
590,과천,2020-05-09,14.7,19.5
590,과천,2020-05-10,15,1.5
590,과천,2020-05-11,17,1.5
590,과천,2020-05-12,14.4,1
590,과천,2020-05-13,15.3,0
590,과천,2020-05-14,18.1,0
590,과천,2020-05-15,15.7,9
590,과천,2020-05-16,16.7,1.5
590,과천,2020-05-17,19.5,0
590,과천,2020-05-18,19,27
590,과천,2020-05-19,13,7.5
590,과천,2020-05-20,14.1,0
590,과천,2020-05-21,16.5,0
590,과천,2020-05-22,18.3,0
590,과천,2020-05-23,19.9,0
590,과천,2020-05-24,17.2,16.5
590,과천,2020-05-25,16.5,0
590,과천,2020-05-26,16.3,1
590,과천,2020-05-27,17.4,0
590,과천,2020-05-28,17.9,0
590,과천,2020-05-29,19.8,0
590,과천,2020-05-30,21.8,0
590,과천,2020-05-31,20.7,.5
590,과천,2020-06-01,19.6,0
590,과천,2020-06-02,17.8,2
590,과천,2020-06-03,22.1,0
590,과천,2020-06-04,22.5,0
590,과천,2020-06-05,22.4,0
590,과천,2020-06-06,23.9,0
590,과천,2020-06-07,22.4,0
590,과천,2020-06-08,24.9,0
590,과천,2020-06-09,25.5,0
590,과천,2020-06-10,25,12
590,과천,2020-06-11,25.9,0
590,과천,2020-06-12,23.1,0
590,과천,2020-06-13,25.8,1
590,과천,2020-06-14,23.5,.5
590,과천,2020-06-15,22.6,0
590,과천,2020-06-16,23.7,0
590,과천,2020-06-17,23,0
590,과천,2020-06-18,22.1,0
590,과천,2020-06-19,23.6,0
590,과천,2020-06-20,23.6,0
590,과천,2020-06-21,24.8,0
590,과천,2020-06-22,26.8,0
590,과천,2020-06-23,25.9,0
590,과천,2020-06-24,22.1,18
590,과천,2020-06-25,21.6,7.5
590,과천,2020-06-26,21.9,3
590,과천,2020-06-27,23.8,0
590,과천,2020-06-28,24.5,0
590,과천,2020-06-29,,0
590,과천,2020-06-30,20,53
590,과천,2020-07-01,20.5,.5
590,과천,2020-07-02,23.4,0
590,과천,2020-07-03,24.2,0
590,과천,2020-07-04,22.8,2
590,과천,2020-07-05,23.2,0
590,과천,2020-07-06,24.8,0
590,과천,2020-07-07,23.8,0
590,과천,2020-07-08,24.5,0
590,과천,2020-07-09,26,0
590,과천,2020-07-10,23.9,0
590,과천,2020-07-11,25.2,0
590,과천,2020-07-12,22.4,3.5
590,과천,2020-07-13,18.6,57
590,과천,2020-07-14,20.3,26
590,과천,2020-07-15,22,0
590,과천,2020-07-16,23.8,0
590,과천,2020-07-17,24.6,0
590,과천,2020-07-18,24.9,0
590,과천,2020-07-19,24.3,38
590,과천,2020-07-20,23.7,7
590,과천,2020-07-21,24.6,0
590,과천,2020-07-22,22.7,14
590,과천,2020-07-23,20.8,113
590,과천,2020-07-24,22.9,2
590,과천,2020-07-25,24.4,.5
590,과천,2020-07-26,24.5,0
590,과천,2020-07-27,23.6,2.5
590,과천,2020-07-28,23.5,1
590,과천,2020-07-29,24,25
590,과천,2020-07-30,25.1,1
590,과천,2020-07-31,26.2,0
590,과천,2020-08-01,25.4,27
590,과천,2020-08-02,25,29
590,과천,2020-08-03,24.8,84.5
590,과천,2020-08-04,26.7,21.5
590,과천,2020-08-05,26.1,49.5
590,과천,2020-08-06,24.3,120
590,과천,2020-08-07,24,0
590,과천,2020-08-08,23.7,14.5
590,과천,2020-08-09,24.8,97
590,과천,2020-08-10,26.2,40.5
590,과천,2020-08-11,24.2,65.5
590,과천,2020-08-12,26.4,1.5
590,과천,2020-08-13,27.5,0
590,과천,2020-08-14,27.2,0
590,과천,2020-08-15,26.1,58
590,과천,2020-08-16,27.4,0
590,과천,2020-08-17,27.7,0
590,과천,2020-08-18,26.3,0
590,과천,2020-08-19,26.3,0
590,과천,2020-08-20,27,0
590,과천,2020-08-21,25.9,.5
590,과천,2020-08-22,23.8,58.5
590,과천,2020-08-23,24.8,0
590,과천,2020-08-24,26.6,0
590,과천,2020-08-25,28.6,0
590,과천,2020-08-26,29.2,2
590,과천,2020-08-27,26.7,16.5
590,과천,2020-08-28,26.6,27.5
590,과천,2020-08-29,25.9,40.5
590,과천,2020-08-30,26.7,6.5
590,과천,2020-08-31,26,0
590,과천,2020-09-01,25.4,1
590,과천,2020-09-02,23.5,30.5
590,과천,2020-09-03,22.8,36
590,과천,2020-09-04,22,0
590,과천,2020-09-05,21.4,0
590,과천,2020-09-06,20.4,9.5
590,과천,2020-09-07,19.2,73.5
590,과천,2020-09-08,23.2,3
590,과천,2020-09-09,20.2,0
590,과천,2020-09-10,21.6,9
590,과천,2020-09-11,20.6,6.5
590,과천,2020-09-12,19.5,11.5
590,과천,2020-09-13,20.1,0
590,과천,2020-09-14,20.4,0
590,과천,2020-09-15,21.9,0
590,과천,2020-09-16,21.6,0
590,과천,2020-09-17,20.2,0
590,과천,2020-09-18,21.2,0
590,과천,2020-09-19,20,8.5
590,과천,2020-09-20,18.4,0
590,과천,2020-09-21,16.6,0
590,과천,2020-09-22,18.1,0
590,과천,2020-09-23,18.4,0
590,과천,2020-09-24,20.2,0
590,과천,2020-09-25,19.1,0
590,과천,2020-09-26,18.5,0
590,과천,2020-09-27,18.1,0
590,과천,2020-09-28,18.1,0
590,과천,2020-09-29,17.8,0
590,과천,2020-09-30,18.1,0
590,과천,2020-10-01,17.5,0
590,과천,2020-10-02,18.3,1
590,과천,2020-10-03,19,4
590,과천,2020-10-04,16.5,0
590,과천,2020-10-05,13.2,0
590,과천,2020-10-06,12.3,0
590,과천,2020-10-07,13.5,0
590,과천,2020-10-08,14.6,0
